NoAction,Action,Num
-0.422806756,-31.68731623,152
-1.077923447,-31.68731623,153
-0.876043654,-31.68731623,154
-0.272813294,-31.68731623,155
-0.329684823,-31.68731623,156
-0.100531988,-31.68731623,157
-1.365409012,-31.68731623,158
-0.81059379,-31.68731623,159
-1.271180979,-31.68731623,160
-0.689902044,-31.68731623,161
-0.299587413,-31.68731623,162
-0.905457489,-31.68731623,163
-0.47219477,-31.68731623,164
-0.249495726,-31.68731623,165
-0.195141687,-31.68731623,166
-0.294796683,-31.68731623,167
-0.120790707,-31.68731623,168
-0.105992615,-31.68731623,169
-12.64378475,-31.68731623,170
-13.83120188,-31.68731623,171
-4.155632922,-31.68731623,172
-2.66972097,-31.68731623,173
-0.80092106,-31.68731623,174
-0.240840844,-31.68731623,175
-2.194750296,-31.68731623,176
-1.697198921,-31.68731623,177
-0.942151506,-31.68731623,178
-0.344557091,-31.68731623,179
-0.121940619,-31.68731623,180
-0.052337044,-31.68731623,181
-0.667482032,-31.68731623,182
-0.399020845,-31.68731623,183
-0.120678853,-31.68731623,184
-0.231058907,-31.68731623,185
-0.149284792,-31.68731623,186
-0.068711941,-31.68731623,187
-0.050924872,-31.68731623,188
-0.032543904,-31.68731623,189
-0.01721613,-31.68731623,190
-0.012142673,-31.68731623,191
-0.437352511,-31.68731623,192
-0.135352503,-31.68731623,193
-0.171362794,-31.68731623,194
-0.056671273,-31.68731623,195
-0.019158186,-31.68731623,196
-0.00635501,-31.68731623,197
-0.002170919,-31.68731623,198
-0.000845596,-31.68731623,199
-0.012114846,-31.68731623,200
-0.003703139,-31.68731623,201
-0.001156192,-31.68731623,202
-0.00061366,-31.68731623,203
-0.000188495,-31.68731623,204
-5.88E-05,-31.68731623,205
-1.85E-05,-31.68731623,206
-0.000156041,-31.68731623,207
-9.22E-05,-31.68731623,208
-6.24E-05,-31.68731623,209
-0.006601674,-31.68731623,210
-0.003748286,-31.68731623,211
-0.001661324,-31.68731623,212
-0.000971032,-31.68731623,213
-0.000384864,-31.68731623,214
-0.000171568,-31.68731623,215
-0.000193361,-31.68731623,216
-0.001127476,-31.68731623,217
-0.000364506,-31.68731623,218
-0.000110871,-31.68731623,219
-4.11E-05,-31.68731623,220
-0.00326353,-31.68731623,221
-0.00224701,-31.68731623,222
-0.000846419,-31.68731623,223
-0.000305621,-31.68731623,224
-0.000114518,-31.68731623,225
-3.68E-05,-31.68731623,226
-0.000133069,-31.68731623,227
-5.49E-05,-31.68731623,228
-4.16E-05,-31.68731623,229
-7.42890989,-31.68731623,230
-4.457342187,-31.68731623,231
-8.766077877,-31.68731623,232
-2.629823427,-31.68731623,233
-2.14420064,-31.68731623,234
-1.311860982,-31.68731623,235
-0.393558314,-31.68731623,236
-0.1180675,-31.68731623,237
-68.06463673,-31.68731623,238
-68.06463673,-15.49308964,239
-68.06463673,-7.729747512,240
-68.06463673,-4.832631631,241
-68.06463673,-25.20144421,242
-68.06463673,-9.000321517,243
-68.06463673,-8.395437807,244
-68.06463673,-5.806246211,245
-68.06463673,-6.895156964,246
-68.06463673,-2.308589261,247
-68.06463673,-4.081336108,248
-68.06463673,-4.3713191,249
-68.06463673,-2.396706975,250
-68.06463673,-1.086976195,251
-68.06463673,-0.764926475,252
-68.06463673,-0.348347098,253
-68.06463673,-0.327111094,254
-68.06463673,-1.63759004,255
-68.06463673,-2.082596192,256
-68.06463673,-12.82944061,257
-68.06463673,-12.82944061,258
-68.06463673,-4.799687239,259
-68.06463673,-8.046118375,260
-68.06463673,-3.582536132,261
-68.06463673,-14.35501281,262
-68.06463673,-5.986704486,263
-68.06463673,-32.90108624,264
-68.06463673,-65.42964948,265
-68.06463673,-74.16661276,266
-20.86339214,-74.16661276,267
-9.610735225,-74.16661276,268
-3.232303926,-74.16661276,269
-2.240055772,-74.16661276,270
-0.676793221,-74.16661276,271
-0.540981567,-74.16661276,272
-0.329263846,-74.16661276,273
-0.174836014,-74.16661276,274
-0.084369436,-74.16661276,275
-0.039539464,-74.16661276,276
-0.019003106,-74.16661276,277
-0.025479665,-74.16661276,278
-0.012939656,-74.16661276,279
-0.01121143,-74.16661276,280
-0.04324253,-74.16661276,281
-0.025355263,-74.16661276,282
-24.73071274,-74.16661276,283
-14.92635304,-74.16661276,284
-5.745833944,-74.16661276,285
-3.866434759,-74.16661276,286
-1.751236414,-74.16661276,287
-6.91610846,-74.16661276,288
-2.627831499,-74.16661276,289
-0.980356751,-74.16661276,290
-4.054158491,-74.16661276,291
-1.817173721,-74.16661276,292
-1.116648339,-74.16661276,293
-2.253909441,-74.16661276,294
-1.116386514,-74.16661276,295
-0.966861378,-74.16661276,296
-0.98036332,-74.16661276,297
-0.470725311,-74.16661276,298
-0.270369833,-74.16661276,299
-0.135750023,-74.16661276,300
-0.095347224,-74.16661276,301
-0.063885333,-74.16661276,302
-0.241964164,-74.16661276,303
-0.076369117,-74.16661276,304
-0.082835363,-74.16661276,305
-0.10349777,-74.16661276,306
-0.031643974,-74.16661276,307
-7.421596753,-74.16661276,308
-4.473685052,-74.16661276,309
-2.031785229,-74.16661276,310
-1.927818547,-74.16661276,311
